#time,accel_x,accel_y,accel_z
163419.496730,-74.020594,-10510.924376,-76.609550
163419.497050,-3256.906145,-7772.162391,0.000000
163419.497369,-370.102971,-9474.636058,-229.828649
163419.497689,-962.267725,-9474.636058,-306.438199
163419.498008,-888.247130,-9252.574275,-459.657299
163419.498327,-740.205942,-8512.368333,-1302.362347
163419.498647,-222.061783,-9178.553681,-689.485948
163419.498966,-814.226536,-9326.594869,-919.314598
163419.499286,-2368.659014,-7179.997637,0.000000
163419.499605,1110.308913,-10510.924376,-76.609550
163419.499925,962.267725,-10066.800811,-76.609550
163419.500244,-2368.659014,-7772.162391,0.000000
163419.500563,-74.020594,-9178.553681,-76.609550
163419.500883,-370.102971,-9326.594869,-306.438199
163419.501202,0.000000,-9178.553681,0.000000
163419.501522,-74.020594,-9474.636058,-1915.238745
163419.501841,1110.308913,-9474.636058,459.657299
163419.502161,2294.638420,-10658.965565,-76.609550
163419.502480,-74.020594,-8586.388927,-383.047749
163419.502799,0.000000,-8364.327145,-2374.896044
163419.503119,296.082377,-9844.739029,2604.724693
163419.503438,-2220.617826,-8364.327145,0.000000
163419.503758,-666.185348,-9400.615463,306.438199
163419.504077,-666.185348,-8882.471304,-459.657299
163419.504396,-444.123565,-9178.553681,0.000000
163419.504716,-74.020594,-10362.883188,-76.609550
163419.505035,-1184.329507,-9548.656652,306.438199
163419.505355,-74.020594,-9474.636058,-76.609550
163419.505674,-1184.329507,-7846.182985,-1915.238745
163419.505994,-2368.659014,-8364.327145,0.000000
163419.506313,-148.041188,-11695.253884,1378.971896
163419.506632,-888.247130,-9548.656652,-1149.143247
163419.506952,-444.123565,-9622.677246,-383.047749
163419.507271,-296.082377,-9696.697840,-842.705048
163419.507591,-1776.494261,-8364.327145,-2451.505594
163419.507910,-1628.453072,-7772.162391,-1455.581446
163419.508230,0.000000,-8512.368333,0.000000
163419.508549,0.000000,-8364.327145,0.000000
163419.508868,1702.473667,-10362.883188,-76.609550
163419.509188,-74.020594,-9474.636058,-689.485948
163419.509507,1184.329507,-9918.759623,919.314598
163419.509827,222.061783,-9030.512492,153.219100
163419.510146,0.000000,-8882.471304,306.438199
163419.510466,148.041188,-8956.491898,229.828649
163419.510785,0.000000,-6587.832884,0.000000
163419.511104,-740.205942,-8956.491898,0.000000
163419.511424,-1258.350101,-7476.080014,-1762.019645
163419.511743,-2368.659014,-8364.327145,0.000000
163419.512063,-74.020594,-9474.636058,1762.019645
163419.512382,-74.020594,-9474.636058,-76.609550
163419.512702,-592.164754,-9696.697840,0.000000
163419.513021,-592.164754,-9400.615463,-689.485948
163419.513340,-666.185348,-9252.574275,-459.657299
163419.513660,-1036.288319,-9696.697840,-76.609550
163419.513979,-3552.988522,-7772.162391,-2451.505594
163419.514299,-74.020594,-9474.636058,-1608.800546
163419.514618,-1184.329507,-8956.491898,0.000000
163419.514937,-74.020594,-10066.800811,-76.609550
163419.515257,-74.020594,-9474.636058,-689.485948
163419.515576,1480.411884,-11325.150913,1685.410096
163419.515896,0.000000,-8734.430116,-536.266849
163419.516215,0.000000,-9474.636058,-229.828649
163419.516535,0.000000,-9252.574275,-306.438199
163419.516854,0.000000,-7179.997637,0.000000
163419.517173,0.000000,-9326.594869,0.000000
163419.517493,296.082377,-9696.697840,536.266849
163419.517812,2294.638420,-11251.130318,2374.896044
163419.518132,-962.267725,-7476.080014,0.000000
163419.518451,0.000000,-9548.656652,2604.724693
163419.518771,0.000000,-7920.203579,0.000000
163419.519090,-74.020594,-9400.615463,229.828649
163419.519409,-444.123565,-8956.491898,0.000000
163419.519729,0.000000,-8734.430116,383.047749
163419.520048,1110.308913,-8290.306550,-2528.115143
163419.520368,1036.288319,-9178.553681,-153.219100
163419.520687,814.226536,-9326.594869,0.000000
163419.521007,666.185348,-8956.491898,-459.657299
163419.521326,1702.473667,-11547.212695,-76.609550
163419.521645,1924.535449,-10732.986159,-76.609550
163419.521965,1776.494261,-11325.150913,306.438199
163419.522284,1702.473667,-8956.491898,-1302.362347
163419.522604,2960.823768,-9252.574275,0.000000
163419.522923,3552.988522,-8364.327145,0.000000
163419.523242,4663.297435,-8290.306550,-229.828649
163419.523562,5551.544565,-8660.409521,536.266849
163419.523881,5625.565159,-9400.615463,0.000000
163419.524201,5477.523971,-9474.636058,229.828649
163419.524520,5625.565159,-9770.718434,-76.609550
163419.524840,5551.544565,-9844.739029,-612.876398
163419.525159,4737.318029,-9844.739029,0.000000
163419.525478,6809.894666,-11473.192101,1149.143247
163419.525798,7031.956449,-10066.800811,-383.047749
163419.526117,4737.318029,-6587.832884,0.000000
163419.526437,8808.450710,-8882.471304,-76.609550
163419.526756,8142.265362,-9548.656652,536.266849
163419.527076,6365.771101,-9918.759623,536.266849
163419.527395,4219.173869,-11103.089130,0.000000
163419.527714,4663.297435,-11843.295072,-76.609550
163419.528034,2294.638420,-11843.295072,-229.828649
163419.528353,0.000000,-9548.656652,0.000000
163419.528673,4071.132681,-10362.883188,1762.019645
163419.528992,3182.885551,-7105.977043,1762.019645
163419.529312,1184.329507,-3627.009116,0.000000
163419.529631,3330.926739,-5329.482782,-1685.410096
163419.529950,3330.926739,-6143.709319,-1915.238745
163419.530270,3849.070898,-7698.141797,-2451.505594
163419.530589,4367.215058,-9770.718434,-3294.210641
163419.530909,4663.297435,-13471.748144,-3370.820191
163419.531228,3478.967927,-16580.613101,-76.609550
163419.531547,1702.473667,-15988.448347,-76.609550
163419.531867,1332.370696,-12509.480420,0.000000
163419.532186,3849.070898,-10881.027347,4519.963438
163419.532506,592.164754,-4811.338623,0.000000
163419.532825,2516.700203,-5033.400406,-995.924147
163419.533145,3034.844362,-5329.482782,229.828649
163419.533464,3182.885551,-6661.853478,919.314598
163419.533783,3182.885551,-8290.306550,-76.609550
163419.534103,-2072.576638,-8364.327145,0.000000
163419.534422,-1332.370696,-11251.130318,-153.219100
163419.534742,-74.020594,-12435.459826,3064.381992
163419.535061,3182.885551,-9474.636058,1762.019645
163419.535381,2368.659014,-11325.150913,3600.648841
163419.535700,370.102971,-9918.759623,0.000000
163419.536019,296.082377,-10436.903782,995.924147
163419.536339,148.041188,-8660.409521,-229.828649
163419.536658,-1110.308913,-7179.997637,-4903.011187
163419.536978,-2516.700203,-7179.997637,-7354.516781
163419.537297,-1776.494261,-9844.739029,-3677.258390
163419.537617,1480.411884,-12509.480420,919.314598
163419.537936,2886.803174,-12139.377449,1149.143247
163419.538255,370.102971,-10066.800811,1608.800546
163419.538575,1184.329507,-9252.574275,2145.067394
163419.538894,1776.494261,-7772.162391,-1302.362347
163419.539214,4811.338623,-9548.656652,1378.971896
163419.539533,7402.059420,-9844.739029,4673.182538
163419.539852,4737.318029,-6291.750507,3064.381992
163419.540172,2960.823768,-4811.338623,0.000000
163419.540491,74.020594,-5773.606348,-6818.249932
163419.540811,0.000000,-11917.315666,-5515.887586
163419.541130,-74.020594,-14804.118840,-2834.553343
163419.541450,1702.473667,-14211.954086,-1302.362347
163419.541769,0.000000,-12953.603985,-1838.629195
163419.542088,1702.473667,-11547.212695,-1072.533697
163419.542408,6661.853478,-9770.718434,2834.553343
163419.542727,11029.068536,-7105.977043,7660.954980
163419.543047,9474.636058,-1850.514855,7354.516781
163419.543366,9252.574275,-1702.473667,5592.497135
163419.543686,5847.626942,-4145.153275,383.047749
163419.544005,3256.906145,-8364.327145,-3370.820191
163419.544324,2368.659014,-11917.315666,0.000000
163419.544644,-1258.350101,-13027.624579,-4979.620737
163419.544963,-4737.318029,-14137.933492,-6741.640382
163419.545283,-1480.411884,-13545.768739,-8273.831378
163419.545602,74.020594,-13027.624579,-4596.572988
163419.545922,4145.153275,-12731.542202,-76.609550
163419.546241,4663.297435,-8956.491898,1302.362347
163419.546560,7328.038826,-8290.306550,1608.800546
163419.546880,6439.791695,-8882.471304,4213.525239
163419.547199,3108.864956,-5625.565159,1838.629195
163419.547519,1776.494261,-4811.338623,2451.505594
163419.547838,7031.956449,-8882.471304,4826.401637
163419.548157,4515.256246,-7031.956449,2757.943793
163419.548477,74.020594,-8512.368333,-1225.752797
163419.548796,-4367.215058,-11473.192101,-3983.696590
163419.549116,-3849.070898,-14211.954086,-2681.334243
163419.549435,-5329.482782,-13101.645173,-4596.572988
163419.549755,-7105.977043,-11917.315666,-4290.134789
163419.550074,-4071.132681,-13027.624579,-1302.362347
163419.550393,-3034.844362,-9178.553681,536.266849
163419.550713,-2368.659014,-4811.338623,0.000000
163419.551032,814.226536,-6069.688724,2834.553343
163419.551352,74.020594,-5847.626942,2987.772442
163419.551671,296.082377,-6069.688724,3447.429741
163419.551991,-1850.514855,-7031.956449,2451.505594
163419.552310,-3923.091493,-11325.150913,1225.752797
163419.552629,-7772.162391,-9548.656652,-3677.258390
163419.552949,-7105.977043,-11029.068536,-3064.381992
163419.553268,-6883.915261,-10881.027347,-6128.763984
163419.553588,-7550.100608,-11769.274478,-6128.763984
163419.553907,-3627.009116,-11843.295072,-2528.115143
163419.554227,-2664.741391,-9844.739029,229.828649
163419.554546,-592.164754,-8142.265362,1685.410096
163419.554865,0.000000,-7846.182985,2221.676944
163419.555185,666.185348,-7476.080014,5132.839837
163419.555504,-74.020594,-6809.894666,3294.210641
163419.555824,-74.020594,-8290.306550,536.266849
163419.556143,-2590.720797,-9474.636058,-689.485948
163419.556462,-3478.967927,-9548.656652,-1532.190996
163419.556782,-1258.350101,-11251.130318,-1302.362347
163419.557101,-3552.988522,-11325.150913,-2451.505594
163419.557421,-3108.864956,-11325.150913,-3140.991542
163419.557740,-1332.370696,-9400.615463,-1532.190996
163419.558060,962.267725,-8216.285956,229.828649
163419.558379,0.000000,-5995.668130,0.000000
163419.558698,3627.009116,-8882.471304,2451.505594
163419.559018,3923.091493,-7179.997637,3217.601092
163419.559337,3552.988522,-7031.956449,2374.896044
163419.559657,2220.617826,-8364.327145,-229.828649
163419.559976,3478.967927,-11843.295072,153.219100
163419.560296,3478.967927,-13027.624579,1149.143247
163419.560615,-74.020594,-10066.800811,-2834.553343
163419.560934,-2072.576638,-11843.295072,-4979.620737
163419.561254,-370.102971,-13841.851115,-2604.724693
163419.561573,0.000000,-9844.739029,-3064.381992
163419.561893,1998.556043,-9992.780217,-1455.581446
163419.562212,1998.556043,-8808.450710,-1302.362347
163419.562532,3478.967927,-7550.100608,995.924147
163419.562851,5403.503377,-6513.812290,1685.410096
163419.563170,4145.153275,-5995.668130,1225.752797
163419.563490,5255.462188,-9326.594869,2374.896044
163419.563809,4367.215058,-9474.636058,-76.609550
163419.564129,814.226536,-8660.409521,76.609550
163419.564448,1554.432478,-13397.727550,1149.143247
163419.564767,0.000000,-11325.150913,-2298.286494
163419.565086,444.123565,-11399.171507,-1762.019645
163419.565406,-518.144159,-9992.780217,-1608.800546
163419.565725,-2294.638420,-9696.697840,-2834.553343
163419.566044,-2516.700203,-8364.327145,-3064.381992
163419.566364,-888.247130,-8512.368333,-689.485948
163419.566683,-74.020594,-7402.059420,1762.019645
163419.567002,-1110.308913,-6587.832884,153.219100
163419.567321,-1036.288319,-5403.503377,0.000000
163419.567641,1628.453072,-7698.141797,4519.963438
163419.567960,-74.020594,-7994.224174,995.924147
163419.568279,-2368.659014,-8882.471304,-1302.362347
163419.568598,-3256.906145,-9844.739029,-1532.190996
163419.568918,-2960.823768,-11325.150913,0.000000
163419.569237,-4441.235652,-10732.986159,-1838.629195
163419.569556,-5921.647536,-10732.986159,-4596.572988
163419.569876,-3552.988522,-11177.109724,-1225.752797
163419.570195,-2368.659014,-9696.697840,-1838.629195
163419.570514,-3627.009116,-7105.977043,-3753.867940
163419.570833,-1258.350101,-9474.636058,-1302.362347
163419.571153,-518.144159,-9104.533087,459.657299
163419.571472,222.061783,-8290.306550,1838.629195
163419.571791,-962.267725,-8438.347739,1532.190996
163419.572110,-1184.329507,-8364.327145,1838.629195
163419.572430,-1702.473667,-5995.668130,612.876398
163419.572749,0.000000,-7772.162391,1225.752797
163419.573068,-666.185348,-9400.615463,612.876398
163419.573388,-1258.350101,-10510.924376,536.266849
163419.573707,-3478.967927,-7772.162391,-2451.505594
163419.574026,-1258.350101,-10066.800811,-229.828649
163419.574345,-1184.329507,-10732.986159,-383.047749
163419.574665,0.000000,-9918.759623,919.314598
163419.574984,-370.102971,-9326.594869,536.266849
163419.575303,-2368.659014,-8734.430116,-2528.115143
163419.575622,-2590.720797,-9178.553681,-3140.991542
163419.575942,-1184.329507,-9696.697840,-3677.258390
163419.576261,1480.411884,-11547.212695,1762.019645
163419.576580,-74.020594,-9770.718434,-76.609550
163419.576899,-3552.988522,-5995.668130,-3677.258390
163419.577219,1406.391290,-8882.471304,689.485948
163419.577538,2590.720797,-7328.038826,612.876398
163419.577857,2368.659014,-7920.203579,0.000000
163419.578177,2294.638420,-9178.553681,-76.609550
163419.578496,3478.967927,-9474.636058,-76.609550
163419.578815,3182.885551,-11843.295072,2068.457845
163419.579134,2294.638420,-10066.800811,-1302.362347
163419.579454,1628.453072,-10732.986159,0.000000
163419.579773,2368.659014,-10732.986159,1225.752797
163419.580092,0.000000,-8364.327145,-2451.505594
163419.580411,-370.102971,-10658.965565,-2374.896044
163419.580731,0.000000,-10732.986159,-1762.019645
163419.581050,1258.350101,-10066.800811,459.657299
163419.581369,2294.638420,-8882.471304,-76.609550
163419.581689,888.247130,-7772.162391,306.438199
163419.582008,2294.638420,-8882.471304,1762.019645
163419.582327,888.247130,-5107.421000,612.876398
163419.582646,0.000000,-5403.503377,0.000000
163419.582966,296.082377,-9992.780217,1915.238745
163419.583285,-1776.494261,-8956.491898,-842.705048
163419.583604,-814.226536,-9326.594869,0.000000
163419.583923,-148.041188,-10288.862594,-1378.971896
163419.584243,-592.164754,-11325.150913,-2451.505594
163419.584562,-148.041188,-11547.212695,-2451.505594
163419.584881,-1776.494261,-10436.903782,-1225.752797
163419.585201,-2442.679609,-10955.047942,-2757.943793
163419.585520,-1554.432478,-10658.965565,-4366.744339
163419.585839,-3256.906145,-9178.553681,-1302.362347
163419.586158,740.205942,-10436.903782,2145.067394
163419.586478,222.061783,-7550.100608,459.657299
163419.586797,888.247130,-7994.224174,1838.629195
163419.587116,1480.411884,-6587.832884,2834.553343
163419.587435,0.000000,-4811.338623,0.000000
163419.587755,-2072.576638,-7550.100608,0.000000
163419.588074,-1776.494261,-8956.491898,-2451.505594
163419.588393,-1184.329507,-10214.842000,2145.067394
163419.588713,-1258.350101,-11251.130318,-76.609550
163419.589032,-74.020594,-11843.295072,-689.485948
163419.589351,-740.205942,-11843.295072,459.657299
163419.589670,-2146.597232,-9400.615463,-229.828649
163419.589990,-3701.029710,-9178.553681,-2604.724693
163419.590309,-3849.070898,-10066.800811,-2451.505594
163419.590628,-4145.153275,-8364.327145,0.000000
163419.590947,-1184.329507,-8290.306550,-76.609550
163419.591267,-2368.659014,-7772.162391,612.876398
163419.591586,-74.020594,-8882.471304,842.705048
163419.591905,0.000000,-7105.977043,1762.019645
163419.592225,888.247130,-9178.553681,2987.772442
163419.592544,-1036.288319,-7550.100608,-1991.848295
163419.592863,-1406.391290,-9474.636058,-689.485948
163419.593182,-666.185348,-9696.697840,0.000000
163419.593502,0.000000,-8956.491898,0.000000
163419.593821,1258.350101,-10436.903782,-1532.190996
163419.594140,2220.617826,-11843.295072,383.047749
163419.594459,1554.432478,-10214.842000,-76.609550
163419.594779,-666.185348,-7994.224174,-2451.505594
163419.595098,0.000000,-10732.986159,-1225.752797
163419.595417,0.000000,-9548.656652,0.000000
163419.595736,1554.432478,-9474.636058,766.095498
163419.596056,666.185348,-8956.491898,919.314598
163419.596375,1480.411884,-8364.327145,1072.533697
163419.596694,2294.638420,-6217.729913,842.705048
163419.597014,3034.844362,-7105.977043,2834.553343
163419.597333,1184.329507,-6439.791695,-153.219100
163419.597652,-740.205942,-8364.327145,-612.876398
163419.597971,-592.164754,-8808.450710,536.266849
163419.598291,740.205942,-10584.944971,1915.238745
163419.598610,1036.288319,-12583.501014,1225.752797
163419.598929,1702.473667,-11251.130318,-1302.362347
163419.599248,148.041188,-9252.574275,-1149.143247
163419.599568,-1406.391290,-9548.656652,-3064.381992
163419.599887,-3627.009116,-9918.759623,-5439.278036
163419.600206,-2590.720797,-11843.295072,-2757.943793
163419.600526,-814.226536,-10807.006753,-306.438199
163419.600845,370.102971,-10140.821405,0.000000
163419.601164,1998.556043,-10066.800811,1991.848295
163419.601483,1702.473667,-8290.306550,2068.457845
163419.601803,2368.659014,-6587.832884,3753.867940
163419.602122,3478.967927,-6217.729913,1762.019645
163419.602441,1702.473667,-7105.977043,-383.047749
163419.602760,-2368.659014,-6587.832884,0.000000
163419.603080,-666.185348,-8142.265362,0.000000
163419.603399,222.061783,-11473.192101,-383.047749
163419.603718,-370.102971,-12435.459826,-383.047749
163419.604038,-1036.288319,-11399.171507,-229.828649
163419.604357,-1554.432478,-9992.780217,-76.609550
163419.604676,-2812.782580,-10955.047942,-2221.676944
163419.604995,-3404.947333,-10658.965565,-2528.115143
163419.605315,-3552.988522,-9548.656652,0.000000
163419.605634,-1184.329507,-8882.471304,459.657299
163419.605953,-3256.906145,-7179.997637,0.000000
163419.606272,-148.041188,-8512.368333,842.705048
163419.606592,0.000000,-6513.812290,2451.505594
