#time,accel_x,accel_y,accel_z
163506.927743,-74.020594,-10436.903782,-1225.752797
163506.928062,0.000000,-9844.739029,1225.752797
163506.928382,-74.020594,-9474.636058,-76.609550
163506.928702,-1184.329507,-8808.450710,-383.047749
163506.929021,-3552.988522,-7179.997637,0.000000
163506.929341,-1258.350101,-8142.265362,-1302.362347
163506.929660,-814.226536,-9400.615463,-536.266849
163506.929980,-814.226536,-9548.656652,-766.095498
163506.930299,-962.267725,-9326.594869,-842.705048
163506.930619,148.041188,-9326.594869,-76.609550
163506.930938,-74.020594,-9474.636058,-1302.362347
163506.931258,0.000000,-9548.656652,0.000000
163506.931577,2146.597232,-11843.295072,2374.896044
163506.931897,-74.020594,-9474.636058,-76.609550
163506.932217,-2368.659014,-7772.162391,0.000000
163506.932536,518.144159,-9770.718434,-536.266849
163506.932856,0.000000,-9178.553681,0.000000
163506.933175,74.020594,-9252.574275,0.000000
163506.933495,0.000000,-8290.306550,-689.485948
163506.933814,-74.020594,-9030.512492,-76.609550
163506.934134,518.144159,-9918.759623,1762.019645
163506.934453,1998.556043,-9474.636058,-76.609550
163506.934773,-1776.494261,-8364.327145,0.000000
163506.935092,888.247130,-10881.027347,2528.115143
163506.935412,-2368.659014,-7772.162391,0.000000
163506.935732,-814.226536,-9474.636058,0.000000
163506.936051,-740.205942,-9178.553681,-306.438199
163506.936371,-740.205942,-9548.656652,-153.219100
163506.936690,-74.020594,-9474.636058,-76.609550
163506.937010,-74.020594,-9474.636058,0.000000
163506.937329,-74.020594,-9474.636058,-1302.362347
163506.937649,-1776.494261,-8956.491898,0.000000
163506.937968,-296.082377,-9844.739029,0.000000
163506.938288,-1184.329507,-9548.656652,0.000000
163506.938608,-1332.370696,-8586.388927,-1455.581446
163506.938927,0.000000,-9178.553681,-306.438199
163506.939247,0.000000,-8956.491898,-383.047749
163506.939566,74.020594,-9178.553681,0.000000
163506.939886,1110.308913,-10658.965565,-76.609550
163506.940205,0.000000,-8364.327145,0.000000
163506.940525,814.226536,-10066.800811,536.266849
163506.940844,-74.020594,-9474.636058,-76.609550
163506.941164,-1776.494261,-7476.080014,0.000000
163506.941483,0.000000,-9548.656652,1225.752797
163506.941803,-74.020594,-8882.471304,153.219100
163506.942123,148.041188,-8956.491898,76.609550
163506.942442,0.000000,-9178.553681,-153.219100
163506.942762,-1628.453072,-7476.080014,-1455.581446
163506.943081,-1258.350101,-8290.306550,-919.314598
163506.943401,-2072.576638,-8364.327145,-612.876398
163506.943720,0.000000,-9844.739029,1225.752797
163506.944040,-74.020594,-9474.636058,-229.828649
163506.944359,-74.020594,-10436.903782,1149.143247
163506.944679,-2220.617826,-8364.327145,0.000000
163506.944998,-444.123565,-9622.677246,-995.924147
163506.945318,-592.164754,-9844.739029,-1302.362347
163506.945638,-888.247130,-9474.636058,-536.266849
163506.945957,-1554.432478,-7550.100608,-2681.334243
163506.946277,-74.020594,-9474.636058,-76.609550
163506.946596,-74.020594,-8882.471304,-1915.238745
163506.946916,-1184.329507,-8512.368333,-1225.752797
163506.947235,0.000000,-9548.656652,0.000000
163506.947555,1332.370696,-11547.212695,3294.210641
163506.947874,-888.247130,-8956.491898,-919.314598
163506.948194,0.000000,-9252.574275,-383.047749
163506.948513,0.000000,-8438.347739,-689.485948
163506.948833,296.082377,-9252.574275,0.000000
163506.949153,1702.473667,-9178.553681,-76.609550
163506.949472,0.000000,-9548.656652,1225.752797
163506.949792,1110.308913,-9474.636058,1149.143247
163506.950111,-74.020594,-11251.130318,-76.609550
163506.950431,-1036.288319,-8364.327145,612.876398
163506.950750,-2960.823768,-7179.997637,0.000000
163506.951070,-962.267725,-9252.574275,0.000000
163506.951389,-962.267725,-9474.636058,-229.828649
163506.951709,-962.267725,-9474.636058,-306.438199
163506.952029,-74.020594,-9474.636058,-76.609550
163506.952348,-296.082377,-8956.491898,-689.485948
163506.952668,-1776.494261,-8956.491898,-1225.752797
163506.952987,0.000000,-10140.821405,612.876398
163506.953307,-74.020594,-10362.883188,-76.609550
163506.953626,-3182.885551,-5995.668130,-3677.258390
163506.953946,-74.020594,-10584.944971,-76.609550
163506.954265,0.000000,-9548.656652,-536.266849
163506.954585,0.000000,-9696.697840,-689.485948
163506.954904,0.000000,-9178.553681,-383.047749
163506.955224,0.000000,-10732.986159,2298.286494
163506.955544,0.000000,-9178.553681,-459.657299
163506.955863,0.000000,-9326.594869,-153.219100
163506.956183,0.000000,-9548.656652,-306.438199
163506.956502,-2220.617826,-8364.327145,0.000000
163506.956822,-370.102971,-8956.491898,153.219100
163506.957141,-74.020594,-8882.471304,-76.609550
163506.957461,0.000000,-7772.162391,76.609550
163506.957780,0.000000,-7179.997637,0.000000
163506.958100,2294.638420,-11695.253884,2068.457845
163506.958419,296.082377,-8956.491898,612.876398
