#time,accel_x,accel_y,accel_z
163407.139591,-666.185348,-9252.574275,-2145.067394
163407.139910,-1036.288319,-7920.203579,-2451.505594
163407.140230,-296.082377,-7254.018232,-2834.553343
163407.140549,0.000000,-9844.739029,612.876398
163407.140868,-74.020594,-9474.636058,-995.924147
163407.141188,0.000000,-9474.636058,-689.485948
163407.141507,0.000000,-9548.656652,1225.752797
163407.141826,0.000000,-8734.430116,-153.219100
163407.142146,296.082377,-8956.491898,-76.609550
163407.142465,296.082377,-9252.574275,229.828649
163407.142784,-2368.659014,-6587.832884,-1532.190996
163407.143104,814.226536,-9474.636058,1455.581446
163407.143423,-222.061783,-7994.224174,-1225.752797
163407.143742,-1184.329507,-8364.327145,0.000000
163407.144062,0.000000,-8364.327145,612.876398
163407.144381,-74.020594,-9474.636058,-76.609550
163407.144700,-1184.329507,-9548.656652,459.657299
163407.145020,-1036.288319,-9474.636058,306.438199
163407.145339,-962.267725,-9104.533087,0.000000
163407.145659,-666.185348,-9252.574275,-229.828649
163407.145978,-370.102971,-8660.409521,0.000000
163407.146297,-666.185348,-9770.718434,-76.609550
163407.146617,-962.267725,-8882.471304,-995.924147
163407.146936,-2960.823768,-7179.997637,-2451.505594
163407.147255,444.123565,-10881.027347,-153.219100
163407.147575,-74.020594,-9474.636058,-2374.896044
163407.147894,-296.082377,-9918.759623,-536.266849
163407.148213,74.020594,-9696.697840,-689.485948
163407.148533,0.000000,-9548.656652,-612.876398
163407.148852,-370.102971,-9400.615463,-76.609550
163407.149171,370.102971,-9474.636058,-76.609550
163407.149491,1110.308913,-9104.533087,-76.609550
163407.149810,0.000000,-7179.997637,-1915.238745
163407.150129,0.000000,-9548.656652,0.000000
163407.150449,592.164754,-9474.636058,1225.752797
163407.150768,-1776.494261,-6291.750507,-2145.067394
163407.151088,148.041188,-9474.636058,229.828649
163407.151407,-148.041188,-9400.615463,76.609550
163407.151726,-370.102971,-9178.553681,153.219100
163407.152046,-74.020594,-10658.965565,-76.609550
163407.152365,1702.473667,-10658.965565,-76.609550
163407.152684,-74.020594,-11251.130318,2221.676944
163407.153004,-74.020594,-8882.471304,-76.609550
163407.153323,-1110.308913,-8364.327145,0.000000
163407.153642,0.000000,-9548.656652,1225.752797
163407.153962,-2146.597232,-8364.327145,-1838.629195
163407.154281,-888.247130,-9622.677246,-919.314598
163407.154600,-740.205942,-9326.594869,-689.485948
163407.154920,-370.102971,-9548.656652,-459.657299
163407.155239,-74.020594,-10658.965565,-76.609550
163407.155559,0.000000,-9548.656652,0.000000
163407.155878,1110.308913,-9474.636058,-76.609550
163407.156197,-962.267725,-8808.450710,-1378.971896
163407.156517,-2294.638420,-7772.162391,-1608.800546
163407.156836,0.000000,-9548.656652,1225.752797
163407.157155,-222.061783,-8734.430116,-612.876398
163407.157475,296.082377,-9104.533087,-153.219100
163407.157794,74.020594,-9548.656652,0.000000
163407.158113,222.061783,-9104.533087,0.000000
163407.158433,814.226536,-9252.574275,0.000000
163407.158752,0.000000,-8068.244768,0.000000
163407.159071,0.000000,-8512.368333,0.000000
163407.159391,2294.638420,-11547.212695,-76.609550
163407.159710,-666.185348,-9474.636058,-76.609550
163407.160029,0.000000,-9548.656652,1225.752797
163407.160349,-666.185348,-9252.574275,-383.047749
163407.160668,-518.144159,-9326.594869,0.000000
163407.160988,-888.247130,-9178.553681,0.000000
163407.161307,-2960.823768,-7179.997637,-2451.505594
163407.161626,-1258.350101,-8438.347739,-842.705048
163407.161946,-1184.329507,-8364.327145,-2451.505594
163407.162265,-74.020594,-10658.965565,-76.609550
163407.162584,-2368.659014,-7772.162391,-1762.019645
163407.162904,2294.638420,-11843.295072,-76.609550
163407.163223,0.000000,-9696.697840,0.000000
163407.163542,0.000000,-9252.574275,-229.828649
163407.163862,-222.061783,-9474.636058,-612.876398
163407.164181,0.000000,-9030.512492,-612.876398
163407.164500,-2368.659014,-7179.997637,0.000000
163407.164820,0.000000,-9178.553681,-689.485948
163407.165139,0.000000,-8364.327145,0.000000
163407.165458,1924.535449,-9918.759623,919.314598
163407.165778,2294.638420,-10658.965565,2374.896044
163407.166097,1776.494261,-9622.677246,2451.505594
163407.166417,1702.473667,-8882.471304,0.000000
163407.166736,1850.514855,-9474.636058,0.000000
163407.167055,1406.391290,-9696.697840,-536.266849
163407.167375,0.000000,-8364.327145,0.000000
163407.167694,1480.411884,-9548.656652,0.000000
163407.168013,2368.659014,-10436.903782,919.314598
163407.168333,3478.967927,-10066.800811,2374.896044
163407.168652,3182.885551,-7105.977043,-995.924147
