#time,accel_x,accel_y,accel_z
163532.290382,-740.205942,-9622.677246,-612.876398
163532.290701,-666.185348,-9770.718434,-612.876398
163532.291021,-74.020594,-8956.491898,-1302.362347
163532.291340,-74.020594,-9474.636058,-1149.143247
163532.291660,-74.020594,-10066.800811,-76.609550
163532.291979,-2368.659014,-7179.997637,-2451.505594
163532.292298,0.000000,-9548.656652,153.219100
163532.292618,0.000000,-9548.656652,0.000000
163532.292937,-370.102971,-8882.471304,-612.876398
163532.293257,0.000000,-9474.636058,-383.047749
163532.293576,0.000000,-9030.512492,0.000000
163532.293896,0.000000,-8068.244768,-1532.190996
163532.294215,-74.020594,-8512.368333,-689.485948
163532.294534,518.144159,-9474.636058,-76.609550
163532.294854,-74.020594,-7994.224174,-306.438199
163532.295173,-1184.329507,-8364.327145,0.000000
163532.295493,-74.020594,-10658.965565,1149.143247
163532.295812,-2368.659014,-8364.327145,0.000000
163532.296132,-444.123565,-9548.656652,-153.219100
163532.296451,-1332.370696,-9548.656652,0.000000
163532.296770,-370.102971,-9474.636058,0.000000
163532.297090,-74.020594,-8290.306550,-689.485948
163532.297409,-74.020594,-8956.491898,0.000000
163532.297729,-74.020594,-10658.965565,-76.609550
163532.298048,-1554.432478,-8660.409521,-1455.581446
163532.298368,-3256.906145,-8364.327145,-1838.629195
163532.298687,740.205942,-11621.233289,1532.190996
163532.299006,-1184.329507,-8438.347739,-919.314598
163532.299326,-222.061783,-9252.574275,-459.657299
163532.299645,-370.102971,-9400.615463,-1225.752797
163532.299965,0.000000,-8734.430116,-153.219100
163532.300284,-74.020594,-8808.450710,-1685.410096
163532.300604,-1184.329507,-8660.409521,0.000000
163532.300923,814.226536,-9474.636058,306.438199
163532.301242,2294.638420,-9474.636058,-76.609550
163532.301562,-1184.329507,-7772.162391,0.000000
163532.301881,296.082377,-9844.739029,3140.991542
163532.302201,0.000000,-8586.388927,153.219100
163532.302520,666.185348,-8882.471304,229.828649
163532.302840,0.000000,-8882.471304,0.000000
163532.303159,-2812.782580,-7772.162391,0.000000
163532.303478,-2368.659014,-8068.244768,-2145.067394
163532.303798,-1110.308913,-9474.636058,-383.047749
163532.304117,-2368.659014,-8068.244768,0.000000
163532.304437,-518.144159,-10140.821405,612.876398
163532.304756,-74.020594,-11251.130318,-76.609550
163532.305076,0.000000,-9548.656652,153.219100
163532.305395,-740.205942,-9474.636058,-766.095498
163532.305714,-592.164754,-9326.594869,-459.657299
163532.306034,-1110.308913,-9474.636058,-842.705048
163532.306353,-2220.617826,-7476.080014,-1991.848295
163532.306673,-74.020594,-11843.295072,-76.609550
163532.306992,-666.185348,-8734.430116,-1455.581446
163532.307312,0.000000,-9548.656652,0.000000
163532.307631,740.205942,-10140.821405,1532.190996
163532.307950,2294.638420,-11843.295072,1762.019645
163532.308270,0.000000,-8956.491898,0.000000
163532.308589,-148.041188,-9178.553681,-76.609550
163532.308909,148.041188,-8882.471304,76.609550
163532.309228,148.041188,-9178.553681,306.438199
163532.309548,814.226536,-8586.388927,612.876398
163532.309867,296.082377,-9474.636058,1225.752797
163532.310186,518.144159,-9178.553681,612.876398
163532.310506,1998.556043,-11251.130318,-76.609550
163532.310825,-962.267725,-7698.141797,-383.047749
163532.311145,-74.020594,-11547.212695,1762.019645
163532.311464,-740.205942,-8364.327145,0.000000
163532.311784,-518.144159,-8956.491898,-229.828649
163532.312103,-888.247130,-9178.553681,0.000000
163532.312422,-2960.823768,-7772.162391,0.000000
163532.312742,-1776.494261,-7476.080014,-919.314598
163532.313061,-1184.329507,-9548.656652,0.000000
163532.313381,-74.020594,-11547.212695,-76.609550
163532.313700,-2368.659014,-8956.491898,-1838.629195
163532.314020,-74.020594,-10658.965565,-76.609550
163532.314339,-148.041188,-10436.903782,-306.438199
163532.314658,-296.082377,-9548.656652,-919.314598
163532.314978,0.000000,-9474.636058,-612.876398
163532.315297,74.020594,-9104.533087,-229.828649
163532.315617,-2368.659014,-7179.997637,0.000000
163532.315936,296.082377,-9474.636058,-76.609550
163532.316256,-2368.659014,-8364.327145,0.000000
163532.316575,592.164754,-9696.697840,306.438199
163532.316894,814.226536,-11843.295072,-76.609550
163532.317214,0.000000,-10436.903782,2451.505594
163532.317533,148.041188,-8808.450710,0.000000
163532.317853,0.000000,-8216.285956,306.438199
163532.318172,814.226536,-8734.430116,383.047749
163532.318492,0.000000,-7179.997637,0.000000
163532.318811,592.164754,-8068.244768,0.000000
163532.319130,592.164754,-8956.491898,919.314598
163532.319450,1110.308913,-9326.594869,-76.609550
163532.319769,-2294.638420,-7179.997637,-2145.067394
163532.320089,0.000000,-9548.656652,0.000000
163532.320408,518.144159,-8808.450710,-1532.190996
163532.320728,2072.576638,-10140.821405,-383.047749
163532.321047,2442.679609,-9474.636058,76.609550
163532.321366,2960.823768,-9030.512492,-229.828649
163532.321686,5255.462188,-9474.636058,-76.609550
163532.322005,3849.070898,-8660.409521,0.000000
163532.322325,4959.379811,-9474.636058,383.047749
163532.322644,4959.379811,-9474.636058,76.609550
163532.322964,4959.379811,-9474.636058,459.657299
163532.323283,3552.988522,-8364.327145,0.000000
163532.323602,1184.329507,-7772.162391,-2451.505594
163532.323922,5847.626942,-11547.212695,-995.924147
163532.324241,4959.379811,-9104.533087,-1838.629195
163532.324561,6957.935855,-8364.327145,-1608.800546
163532.324880,10584.944971,-11843.295072,-76.609550
163532.325200,8290.306550,-8734.430116,383.047749
163532.325519,8142.265362,-9548.656652,536.266849
163532.325838,6809.894666,-10288.862594,536.266849
163532.326158,3552.988522,-11325.150913,0.000000
163532.326477,2516.700203,-12583.501014,1072.533697
163532.326797,2294.638420,-11103.089130,306.438199
163532.327116,2146.597232,-9696.697840,0.000000
163532.327436,5551.544565,-9474.636058,2374.896044
163532.327755,4663.297435,-5921.647536,-76.609550
163532.328074,4811.338623,-5181.441594,536.266849
163532.328394,3997.112087,-4959.379811,-1915.238745
163532.328713,3849.070898,-6069.688724,-2451.505594
163532.329033,3330.926739,-8586.388927,-2681.334243
163532.329352,2664.741391,-11769.274478,-1532.190996
163532.329672,1776.494261,-14285.974681,-2374.896044
163532.329991,3478.967927,-18949.272115,1762.019645
163532.330310,2886.803174,-15396.283594,1149.143247
163532.330630,2664.741391,-11325.150913,3064.381992
163532.330949,5847.626942,-8882.471304,-76.609550
163532.331269,2368.659014,-4515.256246,-306.438199
163532.331588,1702.473667,-4071.132681,-1915.238745
163532.331908,2664.741391,-5551.544565,-383.047749
163532.332227,4367.215058,-9104.533087,1225.752797
163532.332546,888.247130,-9548.656652,1838.629195
163532.332866,-4737.318029,-9548.656652,0.000000
163532.333185,-2664.741391,-10140.821405,153.219100
163532.333505,-74.020594,-10362.883188,0.000000
163532.333824,666.185348,-7328.038826,-842.705048
163532.334144,3478.967927,-11251.130318,1762.019645
163532.334463,2368.659014,-9622.677246,2374.896044
163532.334782,2368.659014,-9178.553681,2145.067394
163532.335102,1036.288319,-8660.409521,229.828649
163532.335421,-2368.659014,-6291.750507,-3677.258390
163532.335741,-2886.803174,-7994.224174,-5745.716235
163532.336060,-3849.070898,-10140.821405,-5362.668486
163532.336380,148.041188,-11917.315666,-2451.505594
163532.336699,3923.091493,-14211.954086,4826.401637
163532.337018,1110.308913,-8586.388927,536.266849
163532.337338,1110.308913,-7994.224174,536.266849
163532.337657,1184.329507,-7179.997637,-689.485948
163532.337977,3775.050304,-8734.430116,1608.800546
163532.338296,6957.935855,-7920.203579,4826.401637
163532.338616,6735.874072,-7994.224174,4826.401637
163532.338935,3404.947333,-7105.977043,-689.485948
163532.339254,-2146.597232,-8882.471304,-7431.126331
163532.339574,-4737.318029,-11029.068536,-7814.174080
163532.339893,-1776.494261,-14285.974681,-4903.011187
163532.340213,-74.020594,-14211.954086,-4060.306139
163532.340532,1332.370696,-12805.562797,-1762.019645
163532.340852,4515.256246,-10732.986159,1225.752797
163532.341171,10362.883188,-8512.368333,5592.497135
163532.341490,15322.262999,-6513.812290,11568.042020
163532.341810,13027.624579,-2368.659014,9499.584175
163532.342129,8290.306550,-1258.350101,3677.258390
163532.342449,5625.565159,-6513.812290,-76.609550
163532.342768,2664.741391,-11843.295072,-76.609550
163532.343088,-1628.453072,-11917.315666,-4903.011187
163532.343407,-2442.679609,-14211.954086,-5286.058936
163532.343726,-3997.112087,-15026.180623,-8120.612279
163532.344046,-2664.741391,-14656.077652,-7507.735880
163532.344365,222.061783,-12361.439231,-3217.601092
163532.344685,5329.482782,-9400.615463,1532.190996
163532.345004,7476.080014,-7105.977043,1149.143247
163532.345324,7698.141797,-4811.338623,3064.381992
163532.345643,9474.636058,-4959.379811,4903.011187
163532.345962,9474.636058,-5033.400406,7584.345430
163532.346282,5255.462188,-4219.173869,1838.629195
163532.346601,6291.750507,-6809.894666,2451.505594
163532.346921,2812.782580,-8956.491898,-2451.505594
163532.347240,-888.247130,-12583.501014,-5362.668486
163532.347560,-2442.679609,-15988.448347,-6205.373534
163532.347879,-2812.782580,-16580.613101,-4366.744339
163532.348198,-666.185348,-14804.118840,-5286.058936
163532.348518,-370.102971,-14211.954086,-2528.115143
163532.348837,1184.329507,-8512.368333,229.828649
163532.349157,5329.482782,-5403.503377,3677.258390
163532.349476,6735.874072,-3182.885551,3524.039291
163532.349796,7846.182985,-4145.153275,6128.763984
163532.350115,6143.709319,-4219.173869,5132.839837
163532.350434,4441.235652,-5921.647536,3447.429741
163532.350754,3478.967927,-9474.636058,2374.896044
163532.351073,-1110.308913,-11843.295072,-2528.115143
163532.351393,-3108.864956,-14730.098246,-3140.991542
163532.351712,-5403.503377,-14211.954086,-7431.126331
163532.352032,-4737.318029,-12805.562797,-5975.544884
163532.352351,-3552.988522,-10732.986159,-2451.505594
163532.352670,2146.597232,-10362.883188,459.657299
163532.352990,5107.421000,-6587.832884,3140.991542
163532.353309,6439.791695,-4811.338623,4519.963438
163532.353629,5699.585753,-4737.318029,4290.134789
163532.353948,6957.935855,-7994.224174,4136.915689
163532.354268,592.164754,-5107.421000,0.000000
163532.354587,2072.576638,-9992.780217,-229.828649
163532.354906,-370.102971,-10658.965565,-2528.115143
163532.355226,-1258.350101,-11843.295072,-6971.469032
163532.355545,-74.020594,-13619.789333,-5592.497135
163532.355865,148.041188,-13175.665768,-3140.991542
163532.356184,3034.844362,-11843.295072,-842.705048
163532.356504,4959.379811,-10584.944971,1685.410096
163532.356823,6735.874072,-9770.718434,6052.154434
163532.357142,7624.121203,-7105.977043,6052.154434
163532.357462,9400.615463,-6365.771101,6665.030833
163532.357781,5921.647536,-4737.318029,4826.401637
163532.358101,2368.659014,-3923.091493,919.314598
163532.358420,2294.638420,-8290.306550,-1302.362347
163532.358740,-1776.494261,-9252.574275,-4749.792088
163532.359059,-2886.803174,-11621.233289,-6741.640382
163532.359378,-2146.597232,-12953.603985,-6894.859482
163532.359698,-370.102971,-14508.036463,-4290.134789
163532.360018,0.000000,-10732.986159,-3677.258390
163532.360338,4219.173869,-12361.439231,536.266849
163532.360658,6513.812290,-9918.759623,4749.792088
163532.360977,9178.553681,-7328.038826,5056.230287
163532.361297,9548.656652,-5921.647536,5745.716235
163532.361617,7624.121203,-4737.318029,1608.800546
163532.361937,2960.823768,-5995.668130,612.876398
163532.362257,3256.906145,-8216.285956,-1608.800546
163532.362576,1702.473667,-11843.295072,-2528.115143
163532.362896,296.082377,-11325.150913,-4290.134789
163532.363216,-3552.988522,-11325.150913,-7354.516781
163532.363536,74.020594,-14656.077652,-2911.162892
163532.363856,1036.288319,-13101.645173,-689.485948
163532.364175,4589.276840,-11103.089130,2681.334243
163532.364495,5403.503377,-6513.812290,3294.210641
163532.364815,5107.421000,-5329.482782,1608.800546
163532.365135,3997.112087,-4145.153275,842.705048
163532.365455,3552.988522,-5551.544565,3064.381992
163532.365774,6365.771101,-6291.750507,3677.258390
163532.366094,3552.988522,-6587.832884,612.876398
163532.366414,2886.803174,-10066.800811,-995.924147
163532.366734,1480.411884,-11917.315666,-1072.533697
163532.367054,-444.123565,-13027.624579,-1532.190996
163532.367373,-2368.659014,-10807.006753,-4596.572988
163532.367693,-518.144159,-12435.459826,-4366.744339
163532.368013,-1110.308913,-9548.656652,-3064.381992
163532.368333,962.267725,-8068.244768,-1915.238745
163532.368653,1184.329507,-6291.750507,0.000000
163532.368972,1628.453072,-8956.491898,2374.896044
163532.369292,0.000000,-5995.668130,612.876398
163532.369612,1332.370696,-8142.265362,842.705048
163532.369932,-1110.308913,-9548.656652,842.705048
163532.370252,-1998.556043,-8290.306550,0.000000
163532.370571,-74.020594,-10510.924376,-76.609550
163532.370891,2294.638420,-7994.224174,-76.609550
163532.371211,-74.020594,-10362.883188,-1915.238745
163532.371531,-3182.885551,-11843.295072,-1608.800546
163532.371851,-296.082377,-11843.295072,-76.609550
163532.372170,-1480.411884,-10140.821405,1838.629195
163532.372490,-5921.647536,-7772.162391,-2451.505594
163532.372810,-5033.400406,-8808.450710,-1225.752797
163532.373130,-3552.988522,-8956.491898,536.266849
163532.373450,-370.102971,-7179.997637,1225.752797
163532.373769,-74.020594,-8290.306550,-76.609550
163532.374089,-2368.659014,-8956.491898,2145.067394
163532.374409,-666.185348,-11251.130318,1991.848295
163532.374729,-518.144159,-10658.965565,-76.609550
163532.375049,-3627.009116,-7846.182985,-1915.238745
163532.375368,-7105.977043,-8956.491898,-612.876398
163532.375688,-6661.853478,-8364.327145,-3447.429741
163532.376008,-3404.947333,-8956.491898,-2374.896044
163532.376328,-2442.679609,-9844.739029,-689.485948
163532.376647,-1628.453072,-9326.594869,0.000000
163532.376967,-2738.761985,-8364.327145,-2451.505594
163532.377287,-1998.556043,-9548.656652,0.000000
163532.377607,-1776.494261,-9548.656652,0.000000
163532.377927,-2738.761985,-10658.965565,-76.609550
163532.378246,-1998.556043,-10658.965565,-76.609550
163532.378566,2368.659014,-8364.327145,3064.381992
163532.378886,5921.647536,-6957.935855,3294.210641
163532.379206,4367.215058,-5847.626942,1915.238745
163532.379526,1628.453072,-8586.388927,229.828649
163532.379845,0.000000,-8512.368333,-2451.505594
163532.380165,-1258.350101,-9548.656652,-1915.238745
163532.380485,-2442.679609,-10658.965565,-3753.867940
163532.380805,-5699.585753,-10214.842000,-3677.258390
163532.381125,-2960.823768,-11325.150913,-2451.505594
163532.381444,5847.626942,-9474.636058,2374.896044
163532.381764,3849.070898,-7328.038826,1838.629195
163532.382084,4663.297435,-8290.306550,2987.772442
163532.382404,4367.215058,-8216.285956,1991.848295
163532.382724,3627.009116,-8660.409521,2451.505594
163532.383043,814.226536,-8290.306550,-1302.362347
163532.383363,-74.020594,-10066.800811,-1302.362347
163532.383683,-370.102971,-10658.965565,-1608.800546
163532.384003,1924.535449,-8734.430116,-1302.362347
