#time,accel_x,accel_y,accel_z
163214.215121,7328.038826,-6513.812290,6971.469032
163214.215440,5329.482782,-4811.338623,6128.763984
163214.215758,6143.709319,-9030.512492,6665.030833
163214.216077,1110.308913,-11251.130318,3600.648841
163214.216395,-4737.318029,-10140.821405,-1225.752797
163214.216713,-6883.915261,-11843.295072,-3830.477490
163214.217032,-4737.318029,-11473.192101,-2757.943793
163214.217350,-592.164754,-9400.615463,-2068.457845
163214.217669,592.164754,-5403.503377,-1149.143247
163214.217987,2294.638420,-7105.977043,1762.019645
163214.218305,2738.761985,-4811.338623,0.000000
163214.218624,2368.659014,-5995.668130,1225.752797
163214.218942,592.164754,-7772.162391,766.095498
163214.219261,3478.967927,-11251.130318,-76.609550
163214.219579,1924.535449,-11695.253884,919.314598
163214.219897,1332.370696,-12139.377449,-1149.143247
163214.220216,1258.350101,-11251.130318,-2987.772442
163214.220534,-444.123565,-11325.150913,-4596.572988
163214.220853,-2072.576638,-10288.862594,-4443.353888
163214.221171,-74.020594,-10955.047942,-5439.278036
163214.221490,888.247130,-10732.986159,-3677.258390
163214.221808,592.164754,-7476.080014,-2451.505594
163214.222126,6883.915261,-8882.471304,1149.143247
163214.222445,5551.544565,-4515.256246,-2451.505594
163214.222763,7328.038826,-7105.977043,2221.676944
163214.223082,6217.729913,-8364.327145,1455.581446
163214.223400,5329.482782,-9178.553681,995.924147
163214.223718,4589.276840,-10066.800811,-76.609550
163214.224037,4663.297435,-9770.718434,-689.485948
163214.224355,3256.906145,-9918.759623,-2528.115143
163214.224674,4071.132681,-9474.636058,-3140.991542
163214.224992,1480.411884,-9844.739029,-4290.134789
163214.225311,2738.761985,-12583.501014,-1225.752797
163214.225629,0.000000,-10140.821405,-2451.505594
163214.225947,444.123565,-11769.274478,-689.485948
163214.226266,-666.185348,-10140.821405,536.266849
163214.226584,-370.102971,-9326.594869,2757.943793
163214.226903,0.000000,-5329.482782,766.095498
163214.227221,2294.638420,-4219.173869,3294.210641
163214.227539,2294.638420,-3256.906145,2374.896044
163214.227858,1184.329507,-4811.338623,2451.505594
163214.228176,-74.020594,-6291.750507,153.219100
163214.228495,-666.185348,-9474.636058,-1915.238745
163214.228813,-4737.318029,-10140.821405,-5209.449386
163214.229131,-5773.606348,-12509.480420,-5898.935335
163214.229450,-4885.359217,-15026.180623,-4673.182538
163214.229768,-3404.947333,-14730.098246,-2374.896044
163214.230087,-4441.235652,-11917.315666,-1838.629195
163214.230405,-1258.350101,-11843.295072,1455.581446
163214.230724,-1184.329507,-8660.409521,3140.991542
163214.231042,0.000000,-7179.997637,4903.011187
163214.231360,3478.967927,-7994.224174,9116.536426
163214.231679,2294.638420,-2812.782580,4060.306139
163214.231997,2368.659014,-3997.112087,5669.106685
163214.232316,-148.041188,-5551.544565,2604.724693
163214.232634,-3256.906145,-6291.750507,-1608.800546
163214.232952,-7179.997637,-10658.965565,-4979.620737
163214.233271,-11251.130318,-13027.624579,-6511.811733
163214.233589,-10140.821405,-14211.954086,-8350.440928
163214.233908,-8660.409521,-14063.912898,-5592.497135
163214.234226,-5551.544565,-10807.006753,-4290.134789
163214.234544,-1184.329507,-10732.986159,2451.505594
163214.234863,592.164754,-7179.997637,1225.752797
163214.235181,3775.050304,-8290.306550,5132.839837
163214.235500,2886.803174,-7476.080014,5132.839837
163214.235818,1184.329507,-7624.121203,3677.258390
163214.236137,-74.020594,-7994.224174,-76.609550
163214.236455,-1036.288319,-8734.430116,-1302.362347
163214.236773,-1998.556043,-9474.636058,-2528.115143
163214.237092,-4145.153275,-8364.327145,-4596.572988
163214.237410,-2960.823768,-10881.027347,-3983.696590
163214.237729,-1850.514855,-11843.295072,-3753.867940
163214.238047,-4441.235652,-10140.821405,-6128.763984
163214.238365,-1850.514855,-10066.800811,-3217.601092
163214.238684,1776.494261,-9326.594869,-612.876398
163214.239002,4737.318029,-8290.306550,2757.943793
163214.239321,4737.318029,-5107.421000,3064.381992
163214.239639,7624.121203,-7105.977043,4826.401637
163214.239957,3552.988522,-5995.668130,2757.943793
163214.240276,5107.421000,-9474.636058,3600.648841
163214.240594,4071.132681,-12879.583391,2068.457845
163214.240913,0.000000,-13841.851115,-76.609550
163214.241231,-2590.720797,-11917.315666,-3447.429741
163214.241550,-2886.803174,-11843.295072,-2757.943793
163214.241868,-2294.638420,-10288.862594,-2451.505594
163214.242186,0.000000,-7772.162391,-2451.505594
163214.242505,1110.308913,-7031.956449,229.828649
163214.242823,2294.638420,-5921.647536,1455.581446
163214.243142,888.247130,-4367.215058,689.485948
163214.243460,1184.329507,-5403.503377,2451.505594
163214.243778,4663.297435,-9474.636058,2987.772442
163214.244097,740.205942,-8364.327145,0.000000
163214.244415,1554.432478,-10436.903782,-689.485948
163214.244734,1110.308913,-12213.398043,-995.924147
163214.245052,444.123565,-13545.768739,-1072.533697
163214.245370,-2072.576638,-12213.398043,-2451.505594
163214.245689,-1184.329507,-14285.974681,0.000000
163214.246007,-1258.350101,-14063.912898,-76.609550
163214.246326,-2738.761985,-10658.965565,-76.609550
163214.246644,-3256.906145,-7179.997637,306.438199
163214.246963,2146.597232,-8290.306550,4826.401637
163214.247281,444.123565,-3923.091493,3677.258390
163214.247599,1110.308913,-3182.885551,3447.429741
163214.247918,296.082377,-3701.029710,1991.848295
163214.248236,-814.226536,-5625.565159,1149.143247
163214.248555,-4737.318029,-5995.668130,-3677.258390
163214.248873,-4811.338623,-11769.274478,-3753.867940
163214.249191,-5995.668130,-14063.912898,-4519.963438
163214.249510,-5255.462188,-15322.262999,-4213.525239
163214.249828,-3627.009116,-14211.954086,-3447.429741
163214.250147,-1998.556043,-12213.398043,-2298.286494
163214.250465,-370.102971,-13027.624579,1149.143247
